"lang","es"
"Report_email","Hola,

fue denunciado un anuncio:

de: %s

correo electrónico: %s

motivo: %s

Este anuncio fue denunciado:
%s (%s)

%s"
"Reminder_email","¡Hola %s,

 le deseamos que el %s- Intercambio de idioma sea exitoso y divertido!

¿Qué experiencias tiene con el intercambio de idiomas? Aquí puede contarnos sobre sus experiencias personales:
%s

Puede borrar su oferta ingresando al siguiente link:
%s

Puede editar su oferta ingresando al siguiente link:
%s

Para preguntas y sugerencias nos puede contactar a través de la siguiente dirección de correo electrónico:
%s

Cordialmente

%s- Equipo de intercambio de idiomas"
"Reminder_subject","%s-Sprach-Tandem: Tu anuncio"
"Edit_ok","Datos guardados"
"Feedback_title",""
"Feedback_intro",""
"Feedback_frage1",""
"Feedback_frage2","¿Ha respondido alguien a su anuncio?"
"Feedback_frage3",""
"Feedback_frage4","¿La comunicación fue respetuosa?"
"Feedback_frage5","¿Has quedado con una persona para hacer tándem?"
"Feedback_frage6","¿Fueron bien las reuniones con sus compañeros/ res/ ras  del tándem ?"
"Feedback_frage7","Si usted desea, puede escribir más sobre su experiencia:"
"Feedback_frage8",""
"Feedback_senden","enviar"
