lang,de
sprache_singhalesisch,Singhalesisch
sprache_schwedisch,Schwedisch
sprache_slowakisch,Slowakisch
sprache_slowenisch,Slowenisch
sprache_somali,Somali
sprache_sotho,Sotho
sprache_spanisch,Spanisch
sprache_swahili,Swahili
sprache_tamilisch,Tamil
sprache_telugu,Telugu
sprache_thailaendisch,Thai
sprache_tigrinya,Tigrinya
sprache_tschechisch,Tschechisch
sprache_tuerkisch,Türkisch
sprache_twi,Twi
sprache_ukrainisch,Ukrainisch
sprache_ungarisch,Ungarisch
sprache_urdu,Urdu
sprache_weissrussisch,Weißrussisch
sprache_wolof,Wolof
sprache_vietnamesisch,Vietnamesisch
sprache_yoruba,Yoruba
sprache_zulu,Zulu
sprache_gebaerdensprache,Gebärdensprache
releaseDataset,Anzeige aktiviert
releaseDataset_Title,%s-Sprach-Tandem - Anzeige aktivieren
deleteDataset_button_yes,Ja
deleteDataset_button_no,Nein
deleteDataset,Anzeige gelöscht
deleteDataset_Title,%s-Sprach-Tandem - Soll Ihre Anzeige wirklich gelöscht werden?
editDataset,Die Änderungen an deiner Anzeige wurden übernommen.
editDataset_Title,%s-Sprach-Tandem - Anzeige bearbeiten
Report_Title,%-Sprach-Tandem - Anzeige melden
Statistik_Title,%-Sprach-Tandem - Statistik
Title,%s-Sprach-Tandem
Report_Form_email,Ihre Emailadresse (optional)
Report_Form_email_nochmal,Email-Adresse wiederholen
Report_Form_name,Ihr Name (optional)
Report_Form_text,"Bitte beschreiben Sie uns, warum Sie diese Anzeige melden möchten"
Report_Form_senden,senden
Report_textabove,"Das %s-Sprach-Tandem möchte einen diskriminierungsfreien Austausch ermöglichen. Sollten Sie negative Erfahrungen machen, melden Sie sich bitte bei uns."
Report_gesendet,Nachricht gesendet!
Report_nichtGesendet,Nachricht gesendet!
Report_zurück,zurück
Report_email_subject,%s-Sprach-Tandem - Anzeige gemeldet
Report_email,"Hallo,

es wurde eine Anzeige gemeldet:

von: %s

email: %s

Begründung: %s

Diese Anzeige wurde gemeldet:
%s (%s)

%s"
Reminder_email,"Hallo %s,

Wir wünschen Ihnen weiterhin viel Erfolg und viel Spaß beim %s-Sprach-Tandem!

Beste Grüße

%s-Sprach-Tandem-Team



Sie können Ihr Angebot unter dem folgenden Link löschen:
%s

Sie können Ihr Angebot unter dem folgenden Link bearbeiten:
%s

Bei Fragen und Anregungen können Sie sich unter der folgenden Email-Adresse bei uns melden: %s"
Reminder_subject,%s-Sprach-Tandem: Ihre Anzeige
Edit_ok,Daten gespeichert
